trade_date,high,low,close,pct_chg
20111025,2633.97,2560.05,2625.43,1.89
20111024,2581.13,2501.96,2576.67,2.74
20111021,2538.12,2504.69,2507.88,-0.5
20111020,2570.1,2500.49,2520.53,-2.42
20111019,2617.41,2580.66,2583.08,-0.35
20111018,2651.73,2589.21,2592.21,-2.8
20111017,2687.1,2653.38,2666.95,0.5
20111014,2665.44,2629.88,2653.78,-0.33
20111013,2672.91,2629.41,2662.6,0.67
20111012,2647.02,2523.34,2644.76,3.63
20111011,2635.69,2526.65,2551.99,-0.2
20111010,2595.32,2552.28,2557.08,-0.94
20110930,2607.57,2572.19,2581.35,-0.26
20110929,2615.14,2577.29,2588.19,-0.86
20110928,2660.1,2602.63,2610.59,-1.03
20110927,2652.56,2613.42,2637.88,1.03
20110926,2679.56,2603.11,2610.92,-2.19
20110923,2681.23,2631.43,2669.48,-0.6
20110922,2754.92,2684.94,2685.69,-3.08
20110921,2778.35,2677.35,2771.01,3.02
20110920,2702.28,2664.1,2689.85,0.39
20110919,2718.32,2678.8,2679.27,-2
20110916,2755.89,2729,2733.99,0.18
20110915,2754.19,2728.91,2729.05,-0.15
20110914,2736.91,2677.13,2733.11,0.47
20110913,2726.19,2698.66,2720.28,-1.12
20110909,2796.35,2739.62,2751.1,-0.18
20110908,2789.11,2755.8,2756.11,-0.83
20110907,2779.21,2730.06,2779.09,2.05
20110906,2745.36,2711.07,2723.3,-0.75
20110905,2780.83,2743.38,2743.82,-2.14
20110902,2836.62,2790.77,2803.85,-1.08
20110901,2869.25,2825.96,2834.54,-0.43
20110831,2855.31,2823.77,2846.78,0.18
20110830,2901.73,2838.33,2841.74,-0.39
20110829,2875.78,2847.48,2852.81,-1.67
20110826,2907.4,2876.83,2901.22,-0.09
20110825,2904.44,2815.91,2903.84,3.34
20110824,2845.47,2804.82,2810.02,-0.39
20110823,2821,2777.29,2821,1.56
20110822,2829.69,2768.42,2777.79,-1.06
20110819,2814.1,2782.56,2807.66,-0.94
20110818,2890,2832.27,2834.25,-1.79
20110817,2910.84,2881.63,2886.01,-0.4
20110816,2932.14,2888.33,2897.58,-0.7
20110815,2917.88,2870.19,2917.88,1.48
20110812,2894.22,2868.87,2875.37,0.29
20110811,2867.31,2777.76,2866.92,1.52
20110810,2858.55,2820.12,2824.12,0.93
20110809,2812.77,2697.06,2798.19,0.15
20110808,2888.77,2747.97,2793.9,-3.57
20110805,2916.41,2868.16,2897.42,-2.12
20110804,2983.01,2951.84,2960.31,0.18
20110803,2969.13,2927.1,2954.87,-0.05
20110802,2958.85,2919.01,2956.38,-0.72
20110801,2991.05,2958.83,2977.72,0.19
20110729,2995.97,2948.08,2972.08,-0.3
20110728,2984.38,2956.71,2981,-0.63
20110727,3002.69,2951.52,3000.05,0.75
20110726,2980.86,2957.61,2977.77,0.32
20110725,3050.9,2958.88,2968.29,-3.25
20110722,3083.19,3059.6,3067.99,0.29
20110721,3099.28,3058.26,3059.14,-1.05
20110720,3119.54,3071.85,3091.57,-0.11
20110719,3109.92,3088.38,3095.13,-0.88
20110718,3137.92,3113.67,3122.6,-0.2
20110715,3130.78,3097.34,3128.89,0.42
20110714,3126.15,3092.47,3115.75,0.31
20110713,3108.5,3060.42,3106.25,1.61
20110712,3090.1,3054.8,3056.91,-1.81
20110711,3121,3086.26,3113.21,0.13
20110708,3124.39,3093.37,3109.18,0.24
20110707,3140.1,3101.1,3101.68,-0.39
20110706,3116.12,3084.83,3113.71,-0.28
20110705,3128.53,3105.09,3122.5,0.02
20110704,3124.58,3064.94,3121.98,2.37
20110701,3071.21,3034.07,3049.75,0.19
20110630,3058.63,3003.23,3044.09,1.46
20110629,3043.82,2999.95,3000.17,-1.37
20110628,3046.8,3014,3041.73,0.17
20110627,3056.02,3019.24,3036.49,0.3
